postal,name,2010,2013,2014,2015,2016,2017
10,Helsingin keskusta,5184,5981,6083,6110,5766,6724
12,Punavuori,5558,6273,6009,6424,6534,7068
13,Kaartinkaupunki,5388,6680,6937,6368,7553,7393
14,Kaivopuisto,5832,6661,6700,6746,7129,7469
15,Eira,5338,6340,6562,6542,6707,7227
16,Katajanokka,5358,6052,5775,5870,5908,6070
17,Kruununhaka,5404,6278,6152,6479,6540,6875
18,Ruoholahti,5083,5852,6095,6319,6693,6931
20,Lauttasaari,4221,4901,4967,5021,5181,5515
21,Vattuniemi,4539,5046,5103,5196,5389,5437
24,Laensi-Pasila,3204,4264,4566,4199,4505,4541
25,Taka-Toolo,4678,5428,5436,5583,5867,6076
26,Keski-Toolo,4937,5799,5856,5891,5940,6348
27,Pohjois-Meilahti,4527,5302,5353,5334,5592,5921
28,Ruskeasuo,4143,4840,4904,5037,5186,5300
30,Pikku-Huopalahti,4276,4636,4685,5241,4968,5288
31,Kivihaka,3523,3655,3649,3683,4142,4424
32,Etelae-Haaga,3619,4213,4341,4533,4648,4638
33,Munkkiniemi,4312,4916,4939,5204,5178,5411
34,Kuusisaari-Lehtisaari,3637,3964,3723,4035,4027,4302
35,Munkkivuori-Niemenmaeki,3540,4119,4068,4218,4361,4493
36,Pajamaeki,2928,3287,3398,3442,3835,3819
37,Reimarla,3041,3412,3197,3316,3323,3286
38,Pitaejaenmaeki,3866,4430,4743,4561,4782,4679
39,Konala,2713,2974,3020,3144,3131,3363
40,Pohjois-Haaga,3092,3646,3695,3797,3680,4003
41,Malminkartano,2501,2731,2623,2557,2636,2769
42,Kannelmaeki,2696,2966,2987,3232,2864,3183
43,Maununneva,3360,3188,3358,3383,3435,2966
44,Lassila,3022,3417,3641,3496,3622,3633
50,Sornaeinen,4138,4930,5103,5281,5575,5838
51,Etu-Vallila,4062,4794,4915,5041,5200,5676
52,Itae-Pasila,3558,4480,4376,4705,4777,5079
53,"Kallio, Hakaniemi",4183,4991,5154,5227,5352,5687
54,Kalasatama,,,,5815,6330,6351
55,"Vallila, Hermanni",3744,4425,4516,4745,4877,5246
56,"Toukola, Vanhakaupunki",4149,4870,4917,4878,5173,5336
57,Kulosaari,3800,4245,4306,4530,4546,5141
58,Sornaeinen teol.al.,,4229,5068,5058,5220,5837
60,Koskela,2670,2992,3172,2914,2984,3068
61,Kaepylae,3629,4298,4701,4512,4759,5001
62,"Metsaelae, Et.-Oulunkylae",3011,3314,3790,3598,3687,3922
63,"Maunula, Suursuo",2580,3194,3223,3476,3405,3517
64,"Pakila, Oulunkylae",2908,3219,3208,3252,3334,3327
65,Veraejaemaeki,3009,3323,3441,3377,3557,3257
66,Laensi-Pakila,3373,3533,3482,3403,3475,3534
67,Paloheinae,3372,3539,3464,3542,3533,3626
68,Itae-Pakila,3284,3550,3205,3176,3502,3515
69,Torpparinmaeki,,3134,3018,,3120,3107
70,Malmi,2879,3054,3085,3114,3170,3282
71,Pihlajamaeki,2528,2535,2562,2614,2574,2696
72,"Pukinmaeki, Savela",2782,3120,3096,3072,2974,3012
73,Tapanila,3037,3307,3282,3276,3279,3190
74,Siltamaeki,2558,2603,2711,2608,2494,2576
75,Puistola,2616,2700,2661,2700,2743,2726
76,Suurmetsae,2678,2887,2795,2848,2997,2957
77,Jakomaeki,1907,2104,2148,2123,2058,2068
78,Tapaninvainio,3031,3017,3040,3247,3193,3244
79,"Viikki, Latokartano-Vik, Ladugarden",3539,3933,3927,3971,4043,4163
80,Laensi-Herttoniemi,3301,3787,4058,4119,4356,4406
81,Herttoniemi,3773,4103,4261,4360,4522,4703
82,Roihuvuori,2605,2858,2886,2947,3021,3256
83,Tammisalo,3630,3484,3518,3374,3527,3612
84,Laajasalo,2907,3064,3261,3283,3352,3491
85,Jollas,4108,4578,4391,4241,3656,3966
87,Et.-Laajasalo,2539,2917,2841,2916,3043,3038
90,Puotinharju,2400,2874,2810,2985,2914,2982
91,Puotila,2663,3118,3156,3116,3267,3268
92,Myllypuro,2266,2646,2620,2684,2595,2758
93,"Marjaniemi, Itaekeskus",2902,3202,3161,3665,3034,3039
94,Kontula,2321,2343,2301,2306,2250,2261
95,Vartioharju,3076,3175,3314,3195,3168,3466
96,Pohjois-Vuosaari,2481,2748,2805,2966,2920,2941
97,Mellunkylae,2442,2492,2553,2576,2455,2585
98,Etelae-Keskivuosaari,2790,2992,3094,3043,3111,3181
99,Aurinkolahti,3865,4251,4199,4354,4421,4585
